system:time_start,Kankariya lake Ahmedabad
"Jan 6, 2011",0.508
"Jan 13, 2011",0.517
"Jan 22, 2011",0.472
"Jan 29, 2011",0.496
"Feb 14, 2011",0.516
"Mar 2, 2011",0.362
"Mar 27, 2011",0.398
"Apr 3, 2011",0.3
"Apr 19, 2011",0.309
"May 5, 2011",0.247
"May 14, 2011",0.317
"May 30, 2011",0.417
"Sep 26, 2011",0.336
"Oct 21, 2011",0.508
"Oct 28, 2011",0.557
"Nov 6, 2011",0.602
"Nov 13, 2011",0.542
"Nov 22, 2011",0.527
"Dec 8, 2011",0.524
"Dec 15, 2011",0.539
"Dec 24, 2011",0.537
"Dec 31, 2011",0.585
"Jan 9, 2012",0.513
"Jan 16, 2012",0.545
"Jan 25, 2012",0.45
"Feb 1, 2012",0.577
"Feb 10, 2012",0.508
"Feb 17, 2012",0.42
"Feb 26, 2012",0.384
"Mar 4, 2012",0.358
"Mar 13, 2012",0.422
"Mar 20, 2012",0.223
"Mar 29, 2012",0.315
"Apr 5, 2012",0.286
"Apr 14, 2012",0.349
"Apr 21, 2012",0.482
"Apr 30, 2012",0.309
"May 7, 2012",0.299
"May 23, 2012",0.211
"Jun 1, 2012",0.125
"Jun 8, 2012",0.208
"Jun 24, 2012",0.215
"Jul 3, 2012",0.148
"Sep 21, 2012",0.232
"Sep 28, 2012",0.505
"Oct 7, 2012",0.502
"Oct 14, 2012",0.462
"Oct 23, 2012",0.473
"Oct 30, 2012",0.547
"Nov 8, 2012",0.561
"Nov 15, 2012",0.619
"Nov 24, 2012",0.568
"Dec 1, 2012",0.547
"Dec 10, 2012",0.609
"Dec 17, 2012",0.51
"Dec 26, 2012",0.608
"Jan 2, 2013",0.576
"Jan 11, 2013",0.573
"Jan 18, 2013",0.61
"Feb 3, 2013",0.534
"Feb 12, 2013",0.445
"Feb 19, 2013",0.672
"Feb 28, 2013",0.582
"Mar 7, 2013",0.593
"Mar 16, 2013",0.461
"Mar 23, 2013",0.506
"Apr 1, 2013",0.523
"Apr 8, 2013",0.297
"Apr 17, 2013",0.369
"May 3, 2013",0.478
"Jun 4, 2013",0.096
"Sep 8, 2013",0.491
"Sep 15, 2013",0.345
"Oct 17, 2013",0.498
"Oct 26, 2013",0.638
"Nov 2, 2013",0.557
"Nov 11, 2013",0.648
"Nov 18, 2013",0.624
"Nov 27, 2013",0.402
"Dec 4, 2013",0.665
"Dec 13, 2013",0.558
"Dec 20, 2013",0.585
"Dec 29, 2013",0.611
"Jan 5, 2014",0.627
"Jan 14, 2014",0.653
"Jan 21, 2014",0.303
"Jan 30, 2014",0.683
"Feb 6, 2014",0.618
"Feb 22, 2014",0.505
"Mar 3, 2014",0.48
"Mar 10, 2014",0.643
"Mar 19, 2014",0.527
"Mar 26, 2014",0.573
"Apr 4, 2014",0.582
"Apr 11, 2014",0.504
"Apr 20, 2014",0.48
"Apr 27, 2014",0.364
"May 6, 2014",0.372
"May 13, 2014",0.351
"May 22, 2014",0.608
"May 29, 2014",0.357
"Jun 7, 2014",0.009
"Jun 30, 2014",0.221
"Oct 13, 2014",0.61
"Oct 29, 2014",0.105
"Nov 5, 2014",0.737
"Nov 14, 2014",0.476
"Nov 21, 2014",0.559
"Nov 30, 2014",0.624
"Dec 7, 2014",0.71
"Dec 16, 2014",0.755
"Dec 23, 2014",0.714
"Jan 8, 2015",0.716
"Jan 17, 2015",0.728
"Jan 24, 2015",0.702
"Feb 2, 2015",0.695
"Feb 9, 2015",0.693
"Feb 18, 2015",0.597
"Feb 25, 2015",0.594
"Mar 6, 2015",0.594
"Mar 13, 2015",0.788
"Mar 22, 2015",0.64
"Apr 7, 2015",0.338
"Apr 14, 2015",0.589
"Apr 23, 2015",0.485
"Apr 30, 2015",0.452
"May 9, 2015",0.577
"May 16, 2015",0.329
"May 25, 2015",0.449
"Jun 1, 2015",0.365
"Sep 5, 2015",0.433
"Sep 14, 2015",0.589
"Oct 7, 2015",0.56
"Oct 16, 2015",0.56
"Oct 23, 2015",0.679
"Nov 1, 2015",0.675
"Nov 8, 2015",0.608
"Nov 17, 2015",0.612
"Dec 3, 2015",0.685
"Dec 10, 2015",0.637
"Dec 19, 2015",0.661
"Dec 26, 2015",0.606
"Jan 4, 2016",0.626
"Jan 11, 2016",0.622
"Jan 20, 2016",0.59
"Jan 27, 2016",0.623
"Feb 5, 2016",0.656
"Feb 12, 2016",0.41
"Feb 21, 2016",0.358
"Feb 28, 2016",0.634
"Mar 8, 2016",0.675
"Mar 15, 2016",0.499
"Mar 24, 2016",0.654
"Mar 31, 2016",0.385
"Apr 9, 2016",0.667
"Apr 16, 2016",0.575
"May 2, 2016",0.456
"May 11, 2016",0.459
"May 18, 2016",0.424
"Jun 19, 2016",0.231
"Sep 23, 2016",0.57
"Oct 9, 2016",0.42
"Oct 18, 2016",0.709
"Oct 25, 2016",0.703
"Nov 3, 2016",0.742
"Nov 10, 2016",0.731
"Nov 19, 2016",0.777
"Nov 26, 2016",0.797
"Dec 5, 2016",0.773
"Dec 12, 2016",0.752
"Dec 21, 2016",0.802
"Dec 28, 2016",0.796
"Jan 6, 2017",0.645
"Jan 13, 2017",0.775
"Jan 22, 2017",0.691
"Jan 29, 2017",0.829
"Feb 7, 2017",0.777
"Feb 14, 2017",0.674
"Feb 23, 2017",0.662
"Mar 2, 2017",0.72
"Mar 11, 2017",0.518
"Mar 18, 2017",0.555
"Mar 27, 2017",0.515
"Apr 3, 2017",0.584
"Apr 12, 2017",0.587
"Apr 19, 2017",0.512
"Apr 28, 2017",0.591
"May 5, 2017",0.444
"May 14, 2017",0.58
"May 21, 2017",0.421
"Jun 6, 2017",0.369
"Jun 15, 2017",0.11
"Jul 8, 2017",0.343
"Sep 10, 2017",0.361
"Sep 19, 2017",0.409
"Sep 26, 2017",0.449
"Oct 5, 2017",0.567
"Oct 21, 2017",0.638
"Oct 28, 2017",0.537
"Nov 6, 2017",0.706
"Nov 13, 2017",0.646
"Nov 22, 2017",0.669
"Nov 29, 2017",0.7
"Dec 8, 2017",0.58
"Dec 15, 2017",0.457
"Dec 24, 2017",0.679
"Dec 31, 2017",0.651
"Jan 9, 2018",0.629
"Jan 16, 2018",0.727
"Jan 25, 2018",0.578
"Feb 1, 2018",0.596
"Feb 17, 2018",0.581
"Feb 26, 2018",0.649
"Mar 5, 2018",0.649
"Mar 14, 2018",0.673
"Mar 21, 2018",0.521
"Mar 30, 2018",0.538
"Apr 6, 2018",0.406
"Apr 15, 2018",0.068
"Apr 22, 2018",0.452
"May 1, 2018",0.422
"May 17, 2018",0.399
"May 24, 2018",0.232
"Jun 2, 2018",0.291
"Sep 29, 2018",0.472
"Oct 8, 2018",0.55
"Oct 15, 2018",0.437
"Oct 24, 2018",0.555
"Oct 31, 2018",0.641
"Nov 9, 2018",0.647
"Nov 16, 2018",0.576
"Nov 25, 2018",0.641
"Dec 2, 2018",0.244
"Dec 11, 2018",0.316
"Dec 18, 2018",0.634
"Dec 27, 2018",0.573
"Jan 3, 2019",0.62
"Jan 12, 2019",0.536
"Jan 19, 2019",0.63
"Jan 28, 2019",0.556
"Feb 4, 2019",0.137
"Feb 13, 2019",0.428
"Feb 20, 2019",0.59
"Mar 1, 2019",0.553
"Mar 8, 2019",0.386
"Mar 17, 2019",0.46
"Mar 24, 2019",0.417
"Apr 2, 2019",0.415
"Apr 9, 2019",0.542
"Apr 18, 2019",0.459
"Apr 25, 2019",0.327
"May 4, 2019",0.36
"May 11, 2019",0.322
"May 20, 2019",0.457
"May 27, 2019",0.424
"Jun 5, 2019",0.453
"Jun 28, 2019",0.443
"Jul 23, 2019",0.613
"Aug 24, 2019",0.334
"Aug 31, 2019",0.323
"Oct 11, 2019",0.691
"Oct 18, 2019",0.62
"Nov 12, 2019",0.681
"Nov 19, 2019",0.651
"Nov 28, 2019",0.686
"Dec 5, 2019",0.155
"Dec 14, 2019",0.682
"Dec 21, 2019",0.697
"Dec 30, 2019",0.707
